ID,rubric question number,rubric item number,rubric item,score,comments,length,category,frequency,frequency original
0,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",1,Not entirely sure where the _blank_ components come into play still..,11,2,0,0
1,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",1,Good,1,1,0,0
2,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",1,Great POV,2,1,1,0
3,1,0,"The ""Revisit POV & Inspiration"" paragraph summarizes the POV and inspirations that connect to how the prototype is being designed.",0,This sounds more like a description of the app than the inspiration.,12,2,0,0
4,5,0,All of your code is publicly viewable on Github,1,"Use better git commit messages. ""ughh"", ""asdf"", etc aren't real messages.",11,3,0,0
5,5,0,All of your code is publicly viewable on Github,1,I'm surprised that all commits are by a single account. Please talk to me about this.,16,2,0,0
6,5,0,All of your code is publicly viewable on Github,1,Try to have more balanced code contributions from each of you.,11,3,0,0
7,5,0,All of your code is publicly viewable on Github,1,"I'm not sure which branch is to be checked. Please update ""master"" so that I know which commit is deployed.",20,3,0,0
8,5,0,All of your code is publicly viewable on Github,0,No Github URL provided,4,2,0,0
9,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,0,Can't see your Github to determine if this rubric point has been satisfied.,13,2,1,1
10,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,Can't find where the json files are rendered.,8,2,0,0
11,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,your data structure could be nested better,7,2,0,0
12,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,"your github repo is not updated, and it needs to be for grading.",13,2,0,0
13,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,good,1,1,0,0
14,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,0,do not see a data file,6,2,0,0
15,2,1,Your data.json file contains pre-seeded data for your app that will be used to render parts of HTML webpages using templates,1,"You guys got real-like data unlike other teams, so good job!",11,1,0,0
16,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error,1,I don't know which screen uses json data cause I can't see the json data.,15,2,1,1
17,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,0,Where is the JSON data rendered in the app?,9,2,2,0
18,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,1,why use outside libraries when you can use the labs?,10,2,0,0
19,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,1,please disable the login functionality completely. it is entirely unnecessary.,10,2,0,0
20,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,1,looking good code wise,4,1,0,0
21,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,0,not seeing any loops over any data structures,8,2,0,0
22,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,1,excellent,1,1,1,0
23,2,0,The app screen(s) that reads JSON data from the server is able to do so successfully and without error.,1,"not sure where your data are coming from, but i see the each loops",14,2,0,0
24,3,1,Every page in the app has their primary functionality implemented.,0,The _blank_ option does not implement any primary feature.,9,2,0,0
25,3,1,Every page in the app has their primary functionality implemented.,1,close enough,2,1,0,0
26,3,1,Every page in the app has their primary functionality implemented.,0,not really,2,2,0,0
27,3,1,Every page in the app has their primary functionality implemented.,0,_blank_ not implemented,3,2,0,0
28,3,1,Every page in the app has their primary functionality implemented.,0,questionable,1,2,0,0
29,3,1,Every page in the app has their primary functionality implemented.,0,close but not enough,4,2,0,0
30,3,1,Every page in the app has their primary functionality implemented.,0,The _blank_ page is empty.,5,2,1,1
31,3,1,Every page in the app has their primary functionality implemented.,0,"_blank_ buttons don't function as they should, and _blank_ page does not have functionality",14,2,0,0
32,3,1,Every page in the app has their primary functionality implemented.,0,"Some pages not fleshed out, and navigation is a bit confusing",11,2,0,0
33,3,1,Every page in the app has their primary functionality implemented.,0,_blank_ is non-functional.,3,2,1,1
34,3,1,Every page in the app has their primary functionality implemented.,1,Make sure that the _blank_ page is better developed (it seems crude as such) but good work otherwise :),19,2,0,0
35,3,1,Every page in the app has their primary functionality implemented.,1,Maybe make _blank_ the main tab instead of _blank_.,9,3,0,0
36,3,1,Every page in the app has their primary functionality implemented.,1,"Next week onwards, please test your app properly so that obvious mistakes are avoided.",14,3,0,0
37,3,1,Every page in the app has their primary functionality implemented.,1,The main page doesn't do much apart from _blank_.,9,2,0,0
38,3,1,Every page in the app has their primary functionality implemented.,1,Great job implementing the _blank_! :),6,1,0,0
39,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,0,Clicking on _blank_ on _blank_ page takes me to _blank_ which doesn't do anything.,14,2,0,0
40,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,0,Nothing on the _blank_ page,5,2,0,0
41,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,1,Is there another purpose to the _blank_ page?,8,2,0,0
42,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,1,home page is currently useless.,5,2,0,0
43,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,1,Think about what else your app can do apart from _blank_.,11,3,1,1
44,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,1,The interaction is implemented but make the user input changes persistent,11,3,0,0
45,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,0,The _blank_ page doesn't meet the requirement,7,2,0,0
46,3,3,Every page is able to perform a unique task that contributes to the overall goal of the app.,1,The _blank_ button on the _blank_ page is confusing,9,2,0,0
47,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,Your _blank_ page has some dead ends and unimplemented functionality,10,2,1,1
48,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,some errors with_blank_ working fluidly with everything,7,2,0,0
49,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,1,close enough,2,1,0,0
50,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,_blank_ gives a 404.,4,2,0,0
51,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,I can't join a session.,5,2,0,0
52,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,1,The functionality I am able to test works,8,1,0,0
53,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,The _blank_ button takes me to a dead end.,9,2,1,1
54,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,No functionality on _blank_ page yet,6,2,0,0
55,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,_blank_ seems to be buggy. ,5,2,0,0
56,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,Clicking cancel on the _blank_ page doesn't work.,8,2,0,0
57,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,1,Good work with _blank_. Make sure to check for valid inputs.,11,1,0,0
58,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,1,The account page is isolated (can't go back to it). ,10,2,0,0
59,3,2,Manually testing all functionality in each page of the app does not lead to dead ends or errors.,0,"After getting navigated to the _blank_ page, there's no control to go back. ",13,2,0,0
